Designator,Mid X,Mid Y,Rotation,Layer
C1,138.898885,-114.022475,0.0,top
C2,118.941385,-113.862475,0.0,top
C3,132.956385,-80.992475,0.0,top
C4,123.118885,-79.522475,0.0,top
D1,94.704883,-76.642053,338.6828431,bottom
D10,144.485509,-71.998376,10.658578500000004,bottom
D11,149.980547,-73.210059,14.211437999999987,bottom
D12,155.389937,-74.759937,17.764297499999998,bottom
D13,160.692886,-76.642053,21.317156899999986,bottom
D14,137.758885,-110.322476,180.0,bottom
D15,117.798885,-110.322475,180.0,bottom
D2,100.007832,-74.759937,342.2357025,bottom
D3,105.417222,-73.210059,345.788562,bottom
D4,110.91226,-71.998376,349.3414215,bottom
D5,116.471825,-71.129546,352.894281,bottom
D6,122.074545,-70.606909,356.4471405,bottom
D7,127.698885,-70.432473,0.0,bottom
D8,133.323224,-70.606909,3.552859500000011,bottom
D9,138.925944,-71.129546,7.1057189999999935,bottom
IC1,137.738885,-100.092475,180.0,bottom
IC2,117.878885,-100.132475,180.0,bottom
J1,137.708885,-117.532475,180.0,top
J2,117.758885,-117.532475,180.0,top
J3,127.818885,-85.502475,0.0,top
Q1,162.874066,-71.05256,201.31715694,bottom
Q10,109.802523,-66.101897,169.34142153,bottom
Q11,103.944217,-67.393683,165.78856204,bottom
Q12,98.177221,-69.046021,162.23570254999998,bottom
Q13,92.523703,-71.05256,158.68284306,bottom
Q2,157.220548,-69.046021,197.76429745000002,bottom
Q3,151.453552,-67.393683,194.21143796,bottom
Q4,145.595246,-66.101897,190.65857847,bottom
Q5,139.668147,-65.17563,187.105718979,bottom
Q6,133.69504,-64.618442,183.552859489,bottom
Q7,127.698885,-64.432475,180.0,bottom
Q8,121.702729,-64.618442,176.447140511,bottom
Q9,115.729622,-65.17563,172.894281021,bottom
R1,93.977823,-74.778888,338.6828431,bottom
R10,121.950606,-68.610753,356.4471405,bottom
R11,145.595246,-66.101897,169.3414215,top
R12,139.668147,-65.17563,172.894281,top
R13,133.69504,-64.618442,176.4471405,top
R14,117.798885,-110.322475,180.0,top
R15,127.698885,-68.432473,0.0,bottom
R16,133.447163,-68.610753,3.552859500000011,bottom
R17,139.173345,-69.144907,7.1057189999999935,bottom
R18,127.698885,-64.432475,180.0,top
R19,121.702729,-64.618442,183.5528595,top
R2,99.397628,-72.855298,342.2357025,bottom
R20,115.729622,-65.17563,187.105719,top
R21,144.855421,-70.032882,10.658578500000004,bottom
R22,150.471549,-71.271266,14.211437999999987,bottom
R23,109.802523,-66.101897,190.6585785,top
R24,103.944217,-67.393683,194.211438,top
R25,156.000141,-72.855298,17.764297499999998,bottom
R26,161.419946,-74.778888,21.317156899999986,bottom
R27,98.177221,-69.046021,197.7642974,top
R28,92.523703,-71.05256,201.3171569,top
R3,104.92622,-71.271266,345.788562,bottom
R4,137.736385,-110.322475,180.0,top
R5,162.874066,-71.05256,158.6828431,top
R6,157.220548,-69.046021,162.2357026,top
R7,151.453552,-67.393683,165.788562,top
R8,110.542348,-70.032882,349.3414215,bottom
R9,116.224424,-69.144907,352.894281,bottom
