Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_Murata_PKMCS0909E,1,Buzzer,
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C20, C21, C22, C23, C24, C25, C27, C33, C5, C7, C9",0402,21,0.1u,
C19,0603,1,4.7,
"C2, C4",0402,2,15pF,
C26,CP_Elec_8x6.9,1,330u,
"C28, C29, C30, C31, C32",0603,5,10u,
"C3, C34, C36, C39, C6, C8",0603,6,2.2u,
C35,0402,1,10n,
"C37, C38, C40, C41",0603,4,1u,
"D1, D10, D11",D_SOD-123F,3,40V1A,
D2,0603,1,LED_1,
"D3, D6, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,4,WS2812B,
D4,0603,1,LED_2,
D5,0603,1,LED_3,
D7,0603,1,LED_4,
"FB1, FB2",0603,2,FerriteBead,
IC1,SOT-23-6,1,NJW1933F1-AT-TE2,
"IC2, IC3",QFN65P400X400X90-17N-D,2,MIC4606-2YML-TR,
J1,CON_5051101892_MOL,1,LINE,
"J10, J11, J12, J9",ViaPad_D2.0mm_Drill1.0mm,4,Conn_01x01_Pin,
"J13, J14",TestPoint_Pad_1.5x1.5mm,2,Conn_01x01_Pin,
J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Side_R,
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Side_L,
J5,PinHeader_2x07_P1.27mm_Vertical_SMD,1,STDC14,
"J6, J7",PinHeader_2x05_P1.27mm_Vertical,2,Conn_02x05_Odd_Even,
J8,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,VIN,
L1,L_Taiyo-Yuden_MD-4040,1,22uH,
Q1,SOT-23,1,BSS138,
Q10,Vishay_PowerPAK_1212-8_Single,1,SiSS27DN,
"Q11, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",Vishay_PowerPAK_1212-8_Single,9,Q_NMOS_SSSGD_AvalancheRated,
"R1, R10, R11, R13, R16, R17, R18, R19, R2, R3, R4, R7, R8, R9",0402,14,10k,
R12,0402,1,33k,
R14,0402,1,39k,
R15,0402,1,12k,
"R5, R6",0402,2,5.1k,
S1,SW_SKRPACE010,1,SW1,
S2,SW_SKRPACE010,1,BOOT0,
S3,SW_SKRPACE010,1,RESET,
S4,SW_SKRPACE010,1,SW2,
S5,SSSS213202,1,SSSS213202,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F469VGTx,
U2,SOT-23-5,1,TLV70233_SOT23-5,
U3,PQFN50P300X250X97-14N,1,ICM-42688-P,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
