Designator,Mid X,Mid Y,Rotation,Layer
BZ1,124.37,-87.09,0.0,bottom
C1,139.17,-111.81,0.0,top
C10,118.55,-108.3,225.0,top
C11,135.229411,-98.259411,315.0,top
C12,131.179411,-98.219411,225.0,bottom
C13,124.67,-92.37,0.0,bottom
C14,114.55,-96.630589,135.0,top
C15,115.02,-104.83,225.0,top
C16,125.42,-112.05,270.0,top
C17,135.37,-100.66,90.0,top
C18,130.05,-88.67,0.0,top
C19,136.71,-96.97,45.0,top
C2,133.899411,-96.329411,315.0,top
C20,105.32,-84.52,270.0,bottom
C21,135.04,-84.47,270.0,bottom
C22,112.51,-99.39,0.0,top
C23,109.97,-103.74,270.0,top
C24,109.97,-106.23,270.0,top
C25,109.98,-108.13,270.0,top
C26,105.655,-98.5,0.0,top
C27,101.545,-110.79,270.0,bottom
C28,102.775,-103.85,0.0,bottom
C29,104.695,-109.78,0.0,bottom
C3,116.21,-95.251992,225.0,top
C30,104.69,-111.26,0.0,bottom
C31,112.16,-110.86,180.0,bottom
C32,114.48,-109.12,270.0,bottom
C33,114.495,-89.63261,0.0,top
C34,115.98,-90.87,0.0,top
C35,114.925,-92.52261,90.0,top
C36,135.44,-99.0775,90.0,bottom
C37,139.38,-102.7375,0.0,bottom
C38,138.995,-95.53,0.0,bottom
C39,135.9,-90.46,90.0,bottom
C4,132.59,-95.02,135.0,top
C40,139.28,-94.04,0.0,bottom
C41,138.885,-86.99,0.0,bottom
C5,134.79,-108.18,180.0,top
C6,124.16,-112.61,270.0,top
C7,129.79,-91.87,45.0,top
C8,115.94,-106.55,225.0,top
C9,130.45,-92.52,45.0,top
D1,133.78,-110.9575,90.0,top
D10,107.4375,-103.22,180.0,bottom
D11,108.405,-111.11,0.0,bottom
D2,114.8675,-83.17,0.0,top
D3,112.155,-101.23,0.0,top
D4,114.8675,-84.78,0.0,top
D5,114.8675,-86.39,0.0,top
D6,112.145,-103.73,0.0,top
D7,114.8675,-87.99,0.0,top
D8,112.145,-106.23,0.0,top
D9,112.145,-108.73,0.0,top
FB1,129.0,-94.25,45.0,bottom
FB2,117.25,-107.85,225.0,top
IC1,103.295,-106.71,270.0,bottom
IC2,138.875,-99.3,90.0,bottom
IC3,139.35,-90.435,90.0,bottom
J1,124.66,-85.04,180.0,top
J10,148.165,-95.96,180.0,top
J11,148.08,-91.77,180.0,top
J12,148.1,-88.8,180.0,top
J2,140.29,-113.645,0.0,bottom
J3,128.89,-113.95,0.0,top
J4,120.39,-113.935,0.0,top
J5,140.7,-105.29,90.0,top
J6,108.98,-84.675,90.0,top
J7,138.74,-84.7,90.0,top
J8,105.34,-90.3,0.0,top
J9,148.215,-98.87,180.0,top
L1,107.94,-106.77,270.0,bottom
Q1,117.6525,-90.35,0.0,bottom
Q10,107.8,-94.74,90.0,bottom
Q11,118.19,-112.735,90.0,bottom
Q2,144.655,-99.1975,0.0,bottom
Q3,144.6525,-99.21,0.0,top
Q4,144.685,-95.64,0.0,bottom
Q5,144.6825,-95.65,0.0,top
Q6,144.6725,-92.0775,0.0,bottom
Q7,144.6775,-92.0875,0.0,top
Q8,144.6775,-88.49,0.0,bottom
Q9,144.6675,-88.49,0.0,top
R1,139.155,-112.785,180.0,top
R10,115.15,-86.41,180.0,bottom
R11,115.16,-88.01,180.0,bottom
R12,112.27,-88.92,0.0,top
R13,112.265,-87.95,180.0,top
R14,102.065,-109.27,180.0,bottom
R15,102.485,-110.8,270.0,bottom
R16,105.39,-95.45,270.0,bottom
R17,117.47,-115.46,180.0,bottom
R18,131.07,-110.15,180.0,top
R19,119.47,-110.04,0.0,top
R2,110.12,-114.33,0.0,bottom
R3,147.65,-108.54,270.0,bottom
R4,114.08,-114.33,0.0,bottom
R5,133.61,-113.85,180.0,top
R6,133.61,-114.9,180.0,top
R7,117.12,-92.76,180.0,bottom
R8,115.13,-83.19,180.0,bottom
R9,115.13,-84.79,180.0,bottom
S1,110.115,-114.125,90.0,top
S2,147.635,-110.365,90.0,top
S3,140.37,-115.22,0.0,top
S4,114.075,-114.125,90.0,top
S5,104.772866,-107.68,270.0,top
U1,124.651918,-100.752171,135.0,top
U2,111.91,-107.89,270.0,bottom
U3,112.925,-91.89261,90.0,top
Y1,135.05,-94.27,135.0,top
